x,y,Temp(c),R,G,B
0,0,29.663276795546096,0,0,0
0,1,29.882750881257437,0,0,0
0,2,30.050297552561346,0,0,0
0,3,30.3974908303893,0,0,0
0,4,29.940775833474845,0,0,0
0,5,29.430427264628293,0,0,0
0,6,30.191874784458264,0,0,0
0,7,30.429584779261802,0,0,0
0,8,29.7988845567844,0,0,0
0,9,29.37861766080789,0,0,0
0,10,29.436901793176446,0,0,0
0,11,29.469268867170854,0,0,0
0,12,29.863402625209915,0,0,0
0,13,29.76661173096562,0,0,0
0,14,29.921437483743773,0,0,0
0,15,29.682659287107526,0,0,0
0,16,28.742008631551812,0,0,0
0,17,28.016562536017773,0,0,0
0,18,27.95097526558004,0,0,0
0,19,27.905041216308177,0,0,0
0,20,27.878784688567464,0,0,0
0,21,27.983773721017428,0,0,0
0,22,28.08211127768294,0,0,0
0,23,28.30468968912396,0,0,0
0,24,28.995784685096794,0,0,0
0,25,29.721414309353634,0,0,0
0,26,29.0932385367679,0,0,0
0,27,28.846191235709966,0,0,0
0,28,29.385095162255823,0,0,0
0,29,29.76661173096562,0,0,0
0,30,30.391070954092697,0,0,0
0,31,29.70203845782322,0,0,0
0,32,30.333275756143962,0,0,0
0,33,29.882750881257437,0,0,0
0,34,30.3974908303893,0,0,0
0,35,30.0245372504142,0,0,0
0,36,29.229532358857114,0,0,0
0,37,28.637729239033206,0,0,0
0,38,29.385095162255823,0,0,0
0,39,30.986577433439834,0,0,0
0,40,30.724425488884435,0,0,0
0,41,30.69881742418619,0,0,0
0,42,31.101478819313456,0,0,0
0,43,31.158886264177227,0,0,0
0,44,30.172579191559976,0,0,0
0,45,29.39157229187333,0,0,0
0,46,29.811791111536422,0,0,0
0,47,30.236885091296756,0,0,0
0,48,30.140412582175486,0,0,0
0,49,29.98588582362646,0,0,0
0,50,29.876301829739816,0,0,0
0,51,30.480916278886298,0,0,0
0,52,30.51298671616553,0,0,0
0,53,30.101800616606965,0,0,0
0,54,29.792430727621877,0,0,0
0,55,29.546912015265775,0,0,0
0,56,29.611573903494786,0,0,0
0,57,29.274927017837683,0,0,0
0,58,30.358966136712525,0,0,0
0,59,30.28187757428259,0,0,0
0,60,30.236885091296756,0,0,0
0,61,31.559935013499228,0,0,0
0,62,31.598057118647773,0,0,0
0,63,30.596327613447272,0,0,0
0,64,29.352703935467105,0,0,0
0,65,30.159713641290807,0,0,0
0,66,30.992963873634096,0,0,0
0,67,30.78202262538872,0,0,0
0,68,30.416748285996164,0,0,0
0,69,30.20473669208991,0,0,0
0,70,30.301154615817154,0,0,0
0,71,30.043858025429984,0,0,0
0,72,30.583509904707455,0,0,0
0,73,30.596327613447272,0,0,0
0,74,29.921437483743773,0,0,0
0,75,29.934330083514,0,0,0
0,76,30.050297552561346,0,0,0
0,77,29.346224573932943,0,0,0
0,78,29.261958980668567,0,0,0
